team,3-o'rtalariga tegadi,Fouls,att qalam sohasiga tegadi,avg yoshi,bepul tepishlarni o'tkazadi,bir necha daqiqa,bloklangan o'qlar,bloklangan o'tishlar,bloklar,burchak kirdi,burchak tepdi,burchak tepishlari,burchak to'g'ri tepadi,daqiqa,daqiqa 90s,daqiqa boshiga boshlash,def qalam sohasiga tegadi,dribble mashg'ulot,dribble mashg'ulot pct,dribbled o'tgan,dribbles tugallangan pct,dribbles vs,dribbles yakunlandi,driblinglar,egalik qilish,foydalanilmagan subs,gca,gca dribbles,gca himoyasi,gca ifloslangan,gca jonli o'tadi,gca o'lik o'tdi,gca o'qlari,gca per90,gk aloqalar,gk avg masofa def amallar,gk daqiqa,gk def amallar per90 qalam maydoni tashqarisida,gk def amallarni qalam maydonidan tashqarida,gk g'alaba qozondi,gk gol tepdi,gk gol tepish uz avg,gk gollar qarshi per90,gk o'tishlar,gk o'tkazmalar tashlash,gk o'yinlar,gk o'yinlari boshlanadi,gk oʻtish pct ishga tushirildi,gk oʻtish yoʻlga qoʻyildi,gk oʻtishlar ishga tushirildi,gk pct gollari ishga tushirildi,gk pct oʻtishlari ishga tushirildi,gk psxg,gk psxg net,gk psxg net per90,gk qalam att,gk qalam saqlandi,gk qalamga ruxsat berilgan,gk qalamlar oʻtkazib yuborilgan,gk qalamlar pct saqlash,gk saqlash pct,gk saqlaydi,gk toza varaqlar,gk toza varaqlar pct,gk uzunlik avg o'tadi,gk xochlar,gk xochlar to'xtatildi,gk xochlar toʻxtatilgan pct,gk yo'qotishlar,gollar har bir o'q uchun,gollar per90 uchun qalam yordam beradi,gollar yordam beradi per90,har bir o'yin uchun daqiqa,har bir sub'ekt uchun daqiqa,havoda g'alaba qozondi,havoda g'olib bo'lgan pct,havoda yo'qolgan,insni tashlash,ishlangan qalamlar,ishlatilgan o'yinchilar,jarima maydoniga o'tadi,jarima maydoniga o'tadi,jonli o'tadi,jonli to'pga tegadi,kartochkalar qizil,kartochkalar sariq,kartochkalar sariq qizil,kompyuter vositasidan oʻtadi,maqsadlar,maqsadlar boshiga90,maqsadlar qalamlar,maqsadlar qalamlar per90,mashg'ulot,mashg'ulot 3-o'rtada,mashg'ulot att 3-o'rin,mashg'ulot def 3-o'rin,mashg'ulot g'olibi,nishonchadagi o'qlar,nishonga har bir o'q uchun gollar,nishonga o'qlar,nishonga o'qlar per90,noto'g'ri yo'llar,npxg,npxg har bir o'q uchun,npxg net,npxg per90,npxg xg assist per90,npxg xg yordam,o'lik o'tkazadi,o'qlar,o'qlar bepul tepishlar,o'qlar boshiga90,o'rtacha o'q masofasi,o'tgan o'rta,o'tish tugallandi,o'tish tugallangan o'rta,o'tish xa,o'tishlar,o'tishlar bloklangan,o'tishlar uzoq vaqtdan beri bajarildi,o'tkazgichlar,o'yin boshiga ball,o'yinlar,o'yinlar boshlanadi,o'yinlar subs,o'yinlar yakunlandi,o'z maqsadlari,offsaydlar,offsaydlardan o'tadi,olingan progressiv o'tishlar,pct qisqa o'tkazadi,pctdan oʻtadi,plus minus per90,progressiv masofadan o'tadi,progressiv o'tishlar,qabul qilingan o'tishlar,qalamlar att,qalamlar e'tirof etildi,qalamlar qo'lga kiritdi,qarshi gk bepul tepish gollari,qarshi gk burchak tepish gollari,qarshi gk gollar,qarshi gk o'z gollari,qarshi gollar bo'yicha,qarshi nishonga gk o'qlar,qarshi nishonga gk psnpxg har bir o'q,qarshi xg ustida,qisqa o'tadi,qisqa o'tishlar,qo'g'rilgan,qo'shimcha minus,sca buzildi,sca dribbles,sca himoyasi,sca jonli o'tadi,sca o'lik o'tib ketdi,sca per90,sca suratlari,skal,tashiydi,tegadi att 3-o'rin,tegadi def 3-o'rin,teginishlar,to'plar orqali,to'pni tiklash,to'siqlar,to'siqlarni bartaraf etadi,tozalash,uchun maqsadlar to'g'risida,uchun xg-da,umumiy masofani o'tkazadi,uzun uzunlikdagi kompyuterdan oʻtadi,uzundan-uzun o'tadi,xatolar,xg,xg net,xg per90,xg plus minus,xg plus minus per90,xg xg yordam per90,xg yordam per90,xg yordam to'ri,xg yordami,xochlar,yakuniy uchinchi o'ringa o'tadi,yordam berilgan zarbalar,yordamchilar,yordamchilar per90
Argentina,2075,59,117,28.5,91,100,9,45,54,7,13,31,0,480,5.3,84,239,39,78.0,11,40.5,50,32,79,61.6,50,15,1,0,2,11,1,0,2.81,1,10.9,480,0.19,1,3,24,33.7,0.94,106,25,5,5,18.6,43,8,29.2,34.0,2.2,-1.8,-0.34,0,0,0,0,-1.0,16.7,2,2,40.0,32.9,55,8,14.5,1,0.1,2.44,2.81,96,26,68,52.7,61,106,2,21,7,50,3228,3999,0,10,0,89.4,9,1.69,7,1.31,78,24,7,47,42,38.2,0.27,26,4.87,64,7.3,0.11,-0.3,1.37,2.36,12.6,263,68,3,12.75,18.0,1296,3005,1158,4.5,3509,48,169,13,2.0,5,55,25,30,1,18,18,148,91.6,85.6,0.75,13499,153,2969,3,0,3,0,0,5,1,5,6,0.36,1.9,1764,1616,89,4,8,4,6,92,10,23.63,6,126,52,960,996,4002,7,226,34,112,78,9,9.5,46749,57.1,296,0,9.5,-0.5,1.78,7.6,1.43,2.76,0.98,0.8,5.2,71,187,54,6,1.13
Australia,910,52,46,28.7,48,100,20,44,64,3,5,8,0,360,4.0,82,306,34,58.6,24,28.3,58,13,46,37.8,40,6,1,0,0,5,0,0,1.5,0,15.5,360,1.5,6,2,37,46.2,1.5,127,13,4,4,44.7,85,38,56.8,50.4,5.5,-0.5,-0.13,0,0,0,0,-1.0,66.7,12,2,50.0,38.5,63,3,4.8,2,0.12,1.5,1.5,90,19,72,50.0,72,98,0,20,2,15,1493,2155,0,7,0,81.5,3,0.75,3,0.75,58,21,3,34,30,30.8,0.38,8,2.0,61,2.3,0.09,0.7,0.58,1.06,4.2,202,26,0,6.5,18.5,612,1254,499,1.1,1696,41,145,13,1.5,4,44,19,25,0,1,1,65,84.9,73.9,-0.5,8922,68,1236,0,0,0,0,1,6,0,6,18,0.31,7.2,643,546,34,-2,3,3,0,29,6,10.5,1,42,36,378,882,2155,1,200,40,98,104,4,2.3,22489,47.4,306,3,2.3,0.7,0.58,-4.9,-1.23,1.06,0.48,1.1,1.9,54,77,17,3,0.75
Belgium,995,30,52,30.6,42,100,8,25,33,5,10,17,0,270,3.0,79,251,26,63.4,15,42.2,41,19,45,57.0,29,2,0,0,0,2,0,0,0.67,1,14.0,270,0.67,2,1,36,33.5,0.67,87,15,3,3,43.5,23,10,22.2,17.2,4.1,2.1,0.69,1,1,0,0,100.0,81.8,8,2,66.7,26.7,36,1,2.8,1,0.03,0.67,0.67,90,25,33,54.1,28,49,0,20,2,18,1733,2172,0,5,0,90.7,1,0.33,1,0.33,48,17,2,29,27,25.7,0.11,9,3.0,47,4.7,0.14,-3.7,1.57,2.85,8.5,149,35,1,11.67,15.6,955,1598,866,2.9,1885,34,148,9,1.33,3,33,14,19,0,3,3,95,90.3,84.8,-0.33,9967,99,1579,0,1,0,0,0,2,0,2,11,0.28,4.6,637,575,35,-1,2,4,1,46,8,21.67,4,65,24,369,828,2172,10,132,17,65,59,1,4.7,30387,62.4,237,1,4.7,-3.7,1.57,0.2,0.05,2.85,1.27,-2.8,3.8,53,102,29,1,0.33
Brazil,1839,63,162,28.4,78,100,10,50,60,21,5,37,0,480,5.3,85,254,33,58.9,23,29.1,56,32,110,56.2,40,13,1,0,1,9,0,2,2.44,1,20.3,480,1.69,9,2,27,29.6,0.56,102,22,5,5,45.5,22,10,25.9,14.7,3.1,0.1,0.02,0,0,0,0,-1.0,70.0,7,2,40.0,24.7,52,0,0.0,1,0.07,2.44,2.62,96,24,43,43.4,56,102,1,26,11,55,2942,3771,0,6,0,89.1,8,1.5,7,1.31,88,29,21,38,51,42.1,0.18,40,7.5,88,11.2,0.12,-4.2,2.09,3.64,19.4,253,95,7,17.81,17.5,1336,2750,1190,7.9,3203,40,180,15,2.0,5,55,25,30,0,8,8,186,91.3,85.9,0.94,14850,190,2718,1,0,1,0,0,3,0,3,10,0.31,2.0,1430,1305,74,5,9,7,3,127,9,31.87,15,170,58,1020,938,3772,7,271,40,128,63,8,12.0,45227,60.6,297,1,12.0,-4.0,2.24,9.9,1.86,3.79,1.54,-2.2,8.2,106,209,70,6,1.13
Cameroon,666,32,50,28.0,45,100,6,16,22,5,5,12,0,270,3.0,83,226,12,44.4,15,43.6,27,24,55,41.7,28,7,1,0,0,5,0,1,2.33,1,8.9,260,0.0,0,1,34,46.8,1.38,108,17,3,3,43.3,67,29,61.8,42.6,4.9,0.9,0.31,0,0,0,0,-1.0,73.3,11,1,33.3,34.9,57,3,5.3,1,0.14,2.67,2.67,90,19,42,53.8,36,47,0,22,3,11,1105,1571,1,8,1,82.7,4,1.33,4,1.33,42,13,2,27,20,57.1,0.25,16,5.33,39,3.4,0.13,0.6,1.14,1.8,5.4,145,28,1,9.33,16.4,444,960,367,2.2,1252,24,121,10,1.33,3,33,12,20,0,2,2,58,88.2,76.7,0.0,7268,62,943,0,0,0,0,0,4,0,4,15,0.33,5.8,516,455,38,0,2,7,0,32,5,16.67,4,50,24,324,604,1571,4,142,40,82,71,4,3.4,17831,51.7,234,1,3.4,0.6,1.14,-2.3,-0.78,1.8,0.66,2.0,2.0,53,90,21,4,1.33
Canada,946,33,56,28.2,41,100,5,21,26,5,5,12,0,270,3.0,78,155,20,50.0,20,37.8,40,31,82,52.0,30,2,0,0,0,2,0,0,0.67,0,15.1,270,0.67,2,0,15,28.3,2.33,82,22,3,3,37.9,29,11,20.0,31.7,5.4,-1.6,-0.52,0,0,0,0,-1.0,53.3,8,0,0.0,30.1,29,0,0.0,3,0.03,0.67,0.67,90,26,30,58.8,21,76,0,19,12,24,1424,1889,0,8,0,89.8,1,0.33,1,0.33,41,13,7,21,23,11.8,0.25,4,1.33,52,3.6,0.11,-2.6,1.18,2.13,6.4,154,34,1,11.33,17.0,578,1307,519,2.6,1586,31,117,11,0.0,3,33,15,18,0,8,8,83,90.2,82.4,-1.67,7915,84,1289,1,0,0,0,0,7,0,7,15,0.37,3.9,704,635,37,-5,2,3,0,47,4,20.33,5,61,30,441,517,1889,1,145,18,59,41,2,4.2,22064,55.7,210,2,4.2,-3.2,1.41,0.3,0.11,2.35,0.95,-1.8,2.8,54,103,27,1,0.33
Costa Rica,594,24,18,30.6,42,100,14,28,42,1,0,1,0,270,3.0,82,248,33,50.8,32,45.9,65,17,37,31.3,30,3,0,0,0,1,0,2,1.0,0,9.9,270,0.67,2,1,33,52.0,3.67,68,14,3,3,34.5,58,20,72.7,50.0,9.6,-1.4,-0.46,1,0,1,0,0.0,54.5,11,1,33.3,41.7,51,2,3.9,2,0.25,1.33,1.33,90,19,38,55.9,30,43,0,22,2,7,953,1436,0,6,0,85.6,3,1.0,3,1.0,67,20,4,43,35,58.3,0.43,7,2.33,43,1.4,0.13,1.6,0.48,0.68,2.0,135,12,0,4.0,17.0,411,823,352,0.4,1101,22,92,15,1.0,3,33,14,19,0,13,13,36,85.2,74.8,-2.67,6006,38,812,0,1,0,0,0,11,0,11,22,0.39,10.1,425,362,37,-8,2,0,0,13,2,6.67,3,20,31,170,688,1436,1,142,31,98,83,3,1.4,15308,46.2,199,1,1.4,1.6,0.48,-8.7,-2.9,0.68,0.2,0.4,0.6,21,35,7,1,0.33
Croatia,1994,69,122,29.3,75,100,25,35,60,5,5,20,0,510,5.7,93,375,41,55.4,33,33.9,74,21,62,54.0,49,10,0,0,0,10,0,0,1.76,4,9.3,510,0.18,1,1,34,34.3,0.53,130,37,5,5,42.2,45,19,38.2,24.6,6.1,3.1,0.54,0,0,0,0,-1.0,86.4,19,2,40.0,27.1,80,7,8.8,0,0.11,2.12,2.12,102,22,74,50.3,73,126,0,18,17,46,3075,3925,0,6,0,85.8,6,1.06,6,1.06,93,35,14,44,54,36.4,0.3,20,3.53,81,5.8,0.11,0.2,1.03,1.86,10.5,265,55,0,9.71,17.2,1193,2777,1024,4.5,3349,62,249,26,1.4,5,55,23,33,0,9,9,170,91.7,82.9,0.53,15045,174,2744,0,0,0,0,1,3,0,3,22,0.28,7.5,1548,1419,64,3,2,4,1,73,4,15.88,6,90,48,835,1138,3925,9,291,40,133,118,6,5.8,46020,60.9,409,0,5.8,0.2,1.03,-1.7,-0.3,1.86,0.83,1.3,4.7,119,176,42,6,1.06
Denmark,1162,28,68,27.5,27,100,16,27,43,3,9,21,8,270,3.0,80,164,18,46.2,21,21.3,39,10,47,60.0,30,1,0,0,0,0,0,1,0.33,1,19.2,270,1.67,5,0,16,35.8,1.0,71,12,3,3,37.5,24,9,31.3,26.8,3.7,0.7,0.24,0,0,0,0,-1.0,72.7,8,1,33.3,30.2,38,0,0.0,2,0.03,0.67,0.67,90,27,51,51.5,48,73,0,20,6,25,1796,2255,0,5,0,89.0,1,0.33,1,0.33,42,20,4,18,27,29.4,0.1,10,3.33,50,2.7,0.09,-1.7,0.9,1.49,4.5,143,34,0,11.33,17.1,753,1598,670,1.8,1944,27,176,29,0.33,3,33,13,20,0,5,5,128,88.5,82.2,-0.67,9562,133,1570,0,0,0,0,0,3,0,3,11,0.34,3.9,803,711,23,-2,0,1,0,42,7,19.0,7,57,25,525,584,2255,0,171,23,65,49,1,2.7,28745,60.3,292,0,2.7,-1.7,0.9,-1.2,-0.39,1.49,0.59,-0.8,1.8,67,154,27,1,0.33
Ecuador,879,50,49,25.8,46,100,4,29,33,7,4,11,0,270,3.0,85,119,12,33.3,24,30.2,36,13,43,53.3,33,6,0,0,1,3,0,2,2.0,1,13.0,270,0.67,2,1,21,52.0,1.0,53,6,3,3,27.5,40,11,71.4,47.2,2.1,-0.9,-0.31,1,0,1,0,0.0,50.0,1,1,33.3,38.3,26,1,3.8,1,0.1,1.67,2.0,90,16,50,50.5,49,69,1,18,10,17,1312,1760,0,3,0,86.0,4,1.33,3,1.0,46,23,2,21,30,34.5,0.3,10,3.33,65,2.9,0.11,0.1,0.98,1.58,4.7,153,29,1,9.67,18.2,544,1153,468,1.6,1473,23,112,3,1.33,3,33,11,22,0,8,8,51,89.1,78.3,0.33,6755,52,1145,1,1,1,0,0,3,0,3,4,0.27,2.6,615,548,37,1,4,1,1,31,4,15.67,6,47,25,316,578,1761,4,135,28,74,42,4,3.7,19926,47.7,235,1,3.7,0.3,1.24,1.2,0.39,1.84,0.6,0.2,1.8,57,60,20,2,0.67
